AÑO;MES;DIA;HORA;VERANO(1)/INVIERNO(0);COEF. PERFIL P2.0TD;COEF. PERFIL P3.0TD;COEF. PERFIL P3.0TDVE;RESERVADO;
2025;01;06;17;0;0.000135566970;0.000082804799;0.000141662465;;
2025;01;06;18;0;0.000137735028;0.000083558358;0.000139369883;;
2025;01;06;19;0;0.000156892293;0.000100761769;0.000144573366;;
2025;01;06;20;0;0.000172407226;0.000106746286;0.000152252455;;
2025;01;06;21;0;0.000184755966;0.000106625421;0.000132753981;;
2025;01;06;22;0;0.000186244223;0.000102164024;0.000111561157;;
2025;01;06;23;0;0.000167823497;0.000095521163;0.000087690468;;
2025;01;06;24;0;0.000139737646;0.000086979065;0.000059906819;;
2025;01;07;1;0;0.000110797178;0.000079456728;0.000053205227;;
2025;01;07;2;0;0.000091487782;0.000075927350;0.000039262368;;
2025;01;07;3;0;0.000080834980;0.000074122607;0.000028608600;;
2025;01;07;4;0;0.000075697260;0.000073577976;0.000024841868;;
2025;01;07;5;0;0.000074347748;0.000074385671;0.000024016003;;
2025;01;07;6;0;0.000077682660;0.000078664476;0.000020876139;;
2025;01;07;7;0;0.000090399488;0.000093423281;0.000026507702;;
2025;01;07;8;0;0.000115500397;0.000123621416;0.000042324082;;
2025;01;07;9;0;0.000129236257;0.000156830011;0.000078598806;;
2025;01;07;10;0;0.000135837090;0.000175540637;0.000126870977;;
2025;01;07;11;0;0.000141083268;0.000182691305;0.000153391342;;
2025;01;07;12;0;0.000140165361;0.000180572405;0.000157439941;;
2025;01;07;13;0;0.000141129581;0.000176844967;0.000150742138;;
2025;01;07;14;0;0.000150769393;0.000167966860;0.000149322285;;
2025;01;07;15;0;0.000156401451;0.000148877497;0.000146763403;;
2025;01;07;16;0;0.000150275898;0.000140738292;0.000158285043;;
2025;01;07;17;0;0.000144729734;0.000140370859;0.000154474911;;
2025;01;07;18;0;0.000149258256;0.000144631196;0.000166973266;;
2025;01;07;19;0;0.000167636191;0.000157236270;0.000170754806;;
2025;01;07;20;0;0.000186324919;0.000153046731;0.000177199315;;
2025;01;07;21;0;0.000202383324;0.000139744871;0.000165961681;;
2025;01;07;22;0;0.000204047998;0.000122721678;0.000130795846;;
2025;01;07;23;0;0.000179186234;0.000105713005;0.000104265606;;
2025;01;07;24;0;0.000146582895;0.000093241859;0.000075428190;;
2025;01;08;1;0;0.000121391550;0.000086621739;0.000054206460;;
2025;01;08;2;0;0.000099801995;0.000082439782;0.000039958403;;
2025;01;08;3;0;0.000088139909;0.000080445007;0.000029112249;;
2025;01;08;4;0;0.000082110354;0.000079469757;0.000025248431;;
2025;01;08;5;0;0.000080637475;0.000080334877;0.000024409317;;
2025;01;08;6;0;0.000083337577;0.000084098085;0.000021164366;;
2025;01;08;7;0;0.000097067009;0.000099962599;0.000026881704;;
2025;01;08;8;0;0.000123919885;0.000132177610;0.000042914576;;
2025;01;08;9;0;0.000136166908;0.000164881609;0.000079350853;;
2025;01;08;10;0;0.000141208214;0.000182253648;0.000127667735;;
2025;01;08;11;0;0.000146549587;0.000189542822;0.000154326606;;
2025;01;08;12;0;0.000145276218;0.000186961579;0.000158316748;;
2025;01;08;13;0;0.000146559856;0.000183433509;0.000151652673;;
2025;01;08;14;0;0.000155762206;0.000173387197;0.000150037142;;
2025;01;08;15;0;0.000161311288;0.000153442494;0.000147404770;;
2025;01;08;16;0;0.000154262037;0.000144415200;0.000158791797;;
2025;01;08;17;0;0.000148438210;0.000143919357;0.000154933565;;
2025;01;08;18;0;0.000152172586;0.000147462893;0.000167216637;;
2025;01;08;19;0;0.000171055839;0.000160442242;0.000171037658;;
2025;01;08;20;0;0.000190330458;0.000156325276;0.000177543949;;
2025;01;08;21;0;0.000205710127;0.000142078498;0.000166079714;;
2025;01;08;22;0;0.000205531237;0.000123721889;0.000130600122;;
2025;01;08;23;0;0.000182493226;0.000107679164;0.000104396064;;
2025;01;08;24;0;0.000148529404;0.000094527611;0.000075432166;;
2025;01;09;1;0;0.000119496530;0.000085245287;0.000054208759;;
2025;01;09;2;0;0.000099098592;0.000081786110;0.000040043003;;
2025;01;09;3;0;0.000087607758;0.000079882614;0.000029180898;;
2025;01;09;4;0;0.000081794181;0.000079075537;0.000025321136;;
2025;01;09;5;0;0.000080143832;0.000079767166;0.000024466552;;
2025;01;09;6;0;0.000082477553;0.000083175475;0.000021192418;;
2025;01;09;7;0;0.000095493866;0.000098319233;0.000026879327;;
2025;01;09;8;0;0.000121911506;0.000130005022;0.000042911182;;
2025;01;09;9;0;0.000133232477;0.000161350534;0.000079239299;;
2025;01;09;10;0;0.000138122957;0.000178299566;0.000127478301;;
2025;01;09;11;0;0.000142469693;0.000184373224;0.000153869750;;
2025;01;09;12;0;0.000141019150;0.000181608005;0.000157792022;;
2025;01;09;13;0;0.000141803607;0.000177643654;0.000151033854;;
